product_id,product_name,category,price,supplier
1,Product_0001,Mobile Accessories,4489.43,ABC Traders
2,Product_0002,Fashion,2475.9,Global Supply Co
3,Product_0003,Sports,5018.17,National Suppliers
4,Product_0004,Furniture,53918.06,Smart Retail Supply
5,Product_0005,Grocery,1803.61,Smart Retail Supply
6,Product_0006,Home Appliances,29441.45,Global Supply Co
7,Product_0007,Electronics,13178.27,Metro Wholesale
8,Product_0008,Furniture,11613.26,ABC Traders
9,Product_0009,Sports,14996.54,National Suppliers
10,Product_0010,Grocery,1154.72,Prime Distributors
11,Product_0011,Mobile Accessories,4381.78,National Suppliers
12,Product_0012,Furniture,44707.9,National Suppliers
13,Product_0013,Home Appliances,60046.42,Smart Retail Supply
14,Product_0014,Furniture,10178.95,Prime Distributors
15,Product_0015,Home Appliances,8474.42,Prime Distributors
16,Product_0016,Home Appliances,60510.53,Metro Wholesale
17,Product_0017,Grocery,2370.31,ABC Traders
18,Product_0018,Home Appliances,21278.97,ABC Traders
19,Product_0019,Electronics,28929.06,Metro Wholesale
20,Product_0020,Office Supplies,1384.73,National Suppliers
21,Product_0021,Furniture,38914.15,Metro Wholesale
22,Product_0022,Mobile Accessories,1071.72,National Suppliers
23,Product_0023,Home Appliances,58516.35,Global Supply Co
24,Product_0024,Home Appliances,17361.02,Prime Distributors
25,Product_0025,Mobile Accessories,3570.57,Metro Wholesale
26,Product_0026,Grocery,195.87,Prime Distributors
27,Product_0027,Mobile Accessories,337.94,ABC Traders
28,Product_0028,Office Supplies,1978.5,ABC Traders
29,Product_0029,Office Supplies,1050.1,Smart Retail Supply
30,Product_0030,Furniture,59852.7,Metro Wholesale
31,Product_0031,Furniture,10726.86,Global Supply Co
32,Product_0032,Mobile Accessories,4756.78,Global Supply Co
33,Product_0033,Electronics,60082.35,ABC Traders
34,Product_0034,Grocery,2194.38,Smart Retail Supply
35,Product_0035,Office Supplies,452.59,ABC Traders
36,Product_0036,Furniture,30514.08,National Suppliers
37,Product_0037,Furniture,34730.11,Global Supply Co
38,Product_0038,Furniture,49502.61,Prime Distributors
39,Product_0039,Grocery,763.27,Global Supply Co
40,Product_0040,Fashion,1009.38,National Suppliers
41,Product_0041,Electronics,30015.17,ABC Traders
42,Product_0042,Mobile Accessories,1384.56,Prime Distributors
43,Product_0043,Electronics,31364.97,Global Supply Co
44,Product_0044,Mobile Accessories,1105.25,Global Supply Co
45,Product_0045,Home Appliances,17908.99,Global Supply Co
46,Product_0046,Furniture,57358.33,Smart Retail Supply
47,Product_0047,Mobile Accessories,2032.55,Prime Distributors
48,Product_0048,Furniture,32721.05,Prime Distributors
49,Product_0049,Mobile Accessories,2739.44,Prime Distributors
50,Product_0050,Fashion,9330.77,Smart Retail Supply
51,Product_0051,Fashion,4732.76,Prime Distributors
52,Product_0052,Electronics,47331.54,Prime Distributors
53,Product_0053,Mobile Accessories,4836.08,Global Supply Co
54,Product_0054,Fashion,6407.17,Global Supply Co
55,Product_0055,Office Supplies,2733.9,ABC Traders
56,Product_0056,Home Appliances,51836.31,Metro Wholesale
57,Product_0057,Office Supplies,223.22,ABC Traders
58,Product_0058,Home Appliances,28576.51,Global Supply Co
59,Product_0059,Electronics,56106.82,Global Supply Co
60,Product_0060,Grocery,2467.18,Global Supply Co
61,Product_0061,Office Supplies,1402.21,National Suppliers
62,Product_0062,Fashion,1385.59,Metro Wholesale
63,Product_0063,Furniture,51675.8,Smart Retail Supply
64,Product_0064,Fashion,1780.8,Prime Distributors
65,Product_0065,Mobile Accessories,3794.87,Smart Retail Supply
66,Product_0066,Grocery,1283.96,ABC Traders
67,Product_0067,Electronics,58095.76,Metro Wholesale
68,Product_0068,Electronics,69653.46,National Suppliers
69,Product_0069,Fashion,7658.69,Metro Wholesale
70,Product_0070,Fashion,7465.54,Smart Retail Supply
71,Product_0071,Sports,11379.91,Global Supply Co
72,Product_0072,Furniture,76214.81,ABC Traders
73,Product_0073,Electronics,69629.06,National Suppliers
74,Product_0074,Sports,787.35,ABC Traders
