order_id,customer_id,customer_name,product_id,product_name,order_date,quantity,unit_price,payment_method,order_status,store_id
28103,206,Customer_0206,180,Product_0180,2025-07-18,4,19180.52,Credit Card,Delivered,15
37892,485,Customer_0485,45,Product_0045,2025-07-18,6,17956.45,UPI,Delivered,26
6683,788,Customer_0788,155,Product_0155,2025-07-18,2,45116.46,Credit Card,Processing,6
8640,22,Customer_0022,109,Product_0109,2025-07-18,1,4302.39,Credit Card,Delivered,2
6497,183,Customer_0183,67,Product_0067,2025-07-18,10,54936.5,Cash on Delivery,Delivered,19
35760,70,Customer_0070,156,Product_0156,2025-07-18,1,32132.58,Credit Card,Returned,39
26404,1000,Customer_1000,122,Product_0122,2025-07-18,3,1217.69,Credit Card,Returned,33
9744,900,Customer_0900,116,Product_0116,2025-07-18,1,50715.7,Debit Card,Delivered,2
26363,695,Customer_0695,165,Product_0165,2025-07-18,3,16123.05,Credit Card,Delivered,23
38742,597,Customer_0597,172,Product_0172,2025-07-18,1,1326.18,Credit Card,Cancelled,28
22652,786,Customer_0786,49,Product_0049,2025-07-18,2,2474.02,Net Banking,Delivered,49
30393,946,Customer_0946,5,Product_0005,2025-07-18,1,1724.66,Net Banking,Delivered,26
20371,60,Customer_0060,64,Product_0064,2025-07-18,3,1820.8,Credit Card,Delivered,7
29208,369,Customer_0369,104,Product_0104,2025-07-18,8,26398.95,Credit Card,Delivered,44
13290,474,Customer_0474,170,Product_0170,2025-07-18,2,865.8,Credit Card,Delivered,14
3856,231,Customer_0231,34,Product_0034,2025-07-18,4,2262.94,Credit Card,Shipped,39
16086,947,Customer_0947,146,Product_0146,2025-07-18,4,10438.77,Credit Card,Cancelled,28
3057,910,Customer_0910,15,Product_0015,2025-07-18,2,7994.58,Debit Card,Delivered,13
2878,358,Customer_0358,196,Product_0196,2025-07-18,1,2788.6,Credit Card,Delivered,11
49726,311,Customer_0311,176,Product_0176,2025-07-18,8,3040.3,Credit Card,Delivered,33
9843,393,Customer_0393,119,Product_0119,2025-07-18,3,636.55,UPI,Delivered,4
14586,904,Customer_0904,16,Product_0016,2025-07-18,8,60409.31,Debit Card,Delivered,27
6325,175,Customer_0175,108,Product_0108,2025-07-18,3,66225.75,Debit Card,Shipped,13
16173,70,Customer_0070,197,Product_0197,2025-07-18,6,9507.37,Debit Card,Delivered,41
